date,open,high,low,close,volume
1/2/2018,5.96,6.2,5.83,6.17,11677560
1/3/2018,6.26,6.66,6.06,6.61,19747550
1/4/2018,6.63,6.87,6.33,6.82,17922320
1/5/2018,6.77,6.81,6.57,6.71,11173370
1/8/2018,6.74,7.14,6.685,7.08,14705670
1/9/2018,7.03,7.405,6.87,7.05,21214210
1/10/2018,7.15,7.28,7.01,7.12,11687550
1/11/2018,7.16,7.5,7.04,7.36,17822930
1/12/2018,7.34,7.53,7.33,7.43,10600830
1/16/2018,7.43,7.47,6.97,6.97,19419430
1/17/2018,6.97,7.2,6.94,7.07,10489270
1/18/2018,7,7.05,6.77,6.78,10982120
1/19/2018,6.68,6.89,6.625,6.87,13023200
1/22/2018,6.87,6.98,6.805,6.95,9365826
1/23/2018,6.95,6.95,6.555,6.68,19104790
1/24/2018,6.73,6.79,6.47,6.64,13880890
1/25/2018,6.8,6.87,6.555,6.65,12793210
1/26/2018,6.7,6.7,6.56,6.6,7100243
1/29/2018,6.56,6.57,6.2,6.22,12626880
1/30/2018,6.09,6.153,5.83,5.99,18373860
