date,open,high,low,close,volume
12/23/2009,42.08,42.6,41.75,42.34,10342140
12/24/2009,42.37,42.53,42.06,42.24,1294958
12/28/2009,42.38,42.619,41.59,41.74,5671759
12/29/2009,41.91,41.94,40.435,40.61,6513013
12/30/2009,40.46,41.22,40.31,40.57,5715975
12/31/2009,40.8,40.88,39.94,39.94,3384734
1/4/2010,40.7,42.48,40.64,42.35,7761234
1/5/2010,42.34,43.32,42.15,43.05,6182686
1/6/2010,43.1,44.2,42.84,43.99,4126317
1/7/2010,44.25,44.25,43.37,43.68,3331668
1/8/2010,44.105,44.99,43.69,44.92,4765282
1/11/2010,45.59,45.71,44.01,44.14,4871764
1/12/2010,43.54,44.09,42.62,42.89,4810571
1/13/2010,42.88,43.83,42.65,43.55,3283881
1/14/2010,43.39,45.09,43.38,44.97,5667166
1/15/2010,44.67,45.05,44.13,44.58,4320138
1/19/2010,44.14,44.45,43.47,44.27,4191643
1/20/2010,43.68,44.31,43.23,43.41,3950843
1/21/2010,43.57,43.8,42.34,42.37,5382170
1/22/2010,42,42.65,40.78,40.98,3968412
1/25/2010,41.38,41.81,40.74,40.86,3524988
1/26/2010,40.55,41.84,40.1,40.57,3705023
1/27/2010,40.59,41.29,40.03,40.79,3772050
1/28/2010,41.3,41.34,39.84,40.41,3548443
1/29/2010,40.77,41.34,38.83,39.03,4171399
2/1/2010,39.34,40.58,39.34,40.48,3827068
2/2/2010,40.65,41.55,40.27,41.43,2619298
2/3/2010,41.29,41.84,40.98,41.4,1916819
2/4/2010,40.78,40.84,38.76,38.99,4300066
2/5/2010,39.35,39.61,37.4501,38.94,3822626
2/8/2010,39.16,39.36,38.29,38.37,3682578
2/9/2010,39.07,40.08,38.995,39.55,2564162
2/10/2010,39.14,40.32,38.98,39.6,2865077
2/11/2010,40,41.11,39.7,41.02,2849554
2/12/2010,40.45,40.68,39.47,40.48,2474245
2/16/2010,41.4,42,40.96,41.91,3089903
2/17/2010,41.87,42.33,41.47,42.21,2258532
2/18/2010,42.01,42.65,41.56,41.97,3421657
2/19/2010,42.73,43.46,42.5,43.04,3996684
2/22/2010,43.72,44.05,42.76,43.3,3789625
2/23/2010,43.1,43.35,42.12,42.3,2812325
2/24/2010,42.16,42.63,41.44,41.78,4600998
2/25/2010,41.39,44.11,40.85,43.97,7714484
2/26/2010,43.96,44.47,43.59,44.17,3119183
3/1/2010,45.47,45.5,44.85,45.37,4671539
3/2/2010,45.47,46.33,45.01,45.48,3792273
3/3/2010,45.84,46.1,45.07,45.26,2538182
3/4/2010,45.22,45.82,44.7,45.18,2482346
3/5/2010,45.8,46.29,45.4,45.92,2180845
3/8/2010,45.83,46.4,45.48,46.11,1917600
3/9/2010,45.54,46.21,45.13,45.57,2146828
3/10/2010,45.48,45.84,44.75,45.55,2279376
3/11/2010,45.46,45.55,44.96,45.51,2187458
3/12/2010,46.05,46.77,45.61,45.82,2821796
3/15/2010,45.42,45.59,44.61,45.31,1556897
3/16/2010,45.44,45.94,44.92,45.92,2387810
3/17/2010,45.9,46.98,45.79,46.6,2371985
3/18/2010,46.45,46.67,44.73,45.03,2882999
3/19/2010,45.03,45.11,43.02,43.29,3770841
3/22/2010,42.9,43.9,42.15,43.84,3050897
3/23/2010,43.68,44.68,43.68,44.01,2796512
3/24/2010,43.67,43.95,43.19,43.74,3100470
3/25/2010,44.02,44.31,42.83,42.93,3259419
3/26/2010,43.09,43.36,42.34,42.47,3208839
3/29/2010,43.09,43.59,42.77,43.19,2539606
3/30/2010,43.25,44.08,43.1,43.65,2615478
3/31/2010,43.94,45.32,43.81,44.78,3520509
4/1/2010,45.37,47.38,45.21,46.91,3625996
4/5/2010,47.4,48.33,46.79,47.54,2925951
4/6/2010,47.56,48.3,47.3,47.89,2073041
4/7/2010,47.89,48.16,46.935,47.4,3006790
4/8/2010,47.12,47.13,46.31,47.06,1635968
4/9/2010,47.36,47.74,46.76,46.98,2053831
4/12/2010,46.98,47.9,46.66,47.22,1499881
4/13/2010,46.9,46.97,45.81,46.62,2526596
4/14/2010,47.1,48.8,46.78,48.7,2757380
4/15/2010,48.39,49.29,48.38,48.92,2207900
4/16/2010,49.54,49.54,45.74,47.18,4857091
4/19/2010,46.43,47.72,45.88,47.27,2039975
4/20/2010,47.63,49.355,47.61,48.58,2033372
4/21/2010,48.29,48.83,47.64,48.18,3345902
4/22/2010,48.915,50.4,48.24,50.16,4798649
4/23/2010,50.55,52.06,50,51.95,3962280
4/26/2010,52.32,52.32,51.01,51.42,2681775
4/27/2010,50.67,51.13,49.02,50.2,3141824
4/28/2010,50.8,51.28,49.42,49.93,2754272
4/29/2010,50.57,50.88,46.7,48.63,5756856
4/30/2010,45.81,48.4,44.92,47.18,10421940
5/3/2010,46.95,48.2,45.23,47.84,4987791
5/4/2010,46.82,47.78,45.94,47.05,2670709
5/5/2010,45.9,46.8,44.61,45.16,4929146
5/6/2010,44.84,46.17,40.91,43.43,4185932
5/7/2010,43.22,43.3,40.24,41.44,6486017
5/10/2010,42.84,43.84,42.15,43.03,4784485
5/11/2010,42.26,43.77,42.2,43.14,2660126
5/12/2010,43.59,43.83,41.8,42.66,3741274
5/13/2010,42.29,42.67,41.11,41.54,4424515
5/14/2010,41.06,41.34,39.01,40.21,4703861
5/17/2010,40.22,41.1,39.18,39.91,4654690
5/18/2010,40.84,40.99,38.66,38.93,3872211
5/19/2010,38.91,39.05,37.19,38.25,3934566
5/20/2010,37.44,37.92,36.43,36.84,3506202
5/21/2010,36.28,39.32,36.26,38.76,4046588
5/24/2010,38.63,39.4,37.785,37.83,2938285
5/25/2010,36.98,39.04,36.42,38.99,4544237
5/26/2010,39.83,40.79,39.3,39.42,4698688
5/27/2010,40.22,41.39,37.43,38.82,8465370
5/28/2010,38.75,38.75,35.55,37.4,8746188
6/1/2010,35.78,36.13,34.43,34.45,7794133
6/2/2010,34.99,36.22,34.44,36.18,5000991
6/3/2010,36.47,37,33.33,34.89,10626220
6/4/2010,34.46,35.62,34.08,35.1,4518250
6/7/2010,35.53,35.99,35.04,35.1,2172261
6/8/2010,35.785,36.12,34.5,35.87,4312525
6/9/2010,36.18,38.45,36.11,36.61,4388297
6/10/2010,37.22,38.26,36.53,38.17,3455554
6/11/2010,37.94,38.69,37.34,38.31,2231838
6/14/2010,38.98,39.25,38.26,38.28,2116397
6/15/2010,38.83,40.25,38.42,40.22,2588139
6/16/2010,39.45,40.87,39.37,40.17,2663404
6/17/2010,40.72,40.72,39.55,40.05,2119554
6/18/2010,40.16,40.9,39.72,40.82,2010322
6/21/2010,41.62,41.62,40.41,40.74,2660832
6/22/2010,40.54,41.59,39.54,39.68,3757563
6/23/2010,39.25,39.4,38.1,38.8,4221431
6/24/2010,38.22,38.79,37.99,38.25,2898174
6/25/2010,38.43,39.28,38.13,38.75,2440483
6/28/2010,39.21,39.29,38.38,38.67,1172916
6/29/2010,38.01,38.76,37.39,38.56,3521282
6/30/2010,38.29,40.45,38.29,39.28,3950467
7/1/2010,39.49,40.66,38.91,40.18,2979460
7/2/2010,40.66,41.1,40.17,40.76,2036851
7/6/2010,41.9,42.05,39.8601,40.36,2195574
7/7/2010,40.25,41.23,40.25,41.09,2572249
7/8/2010,41.49,41.9,39.56,41.04,3257814
7/9/2010,41.04,41.04,39.24,40.2,4169200
7/12/2010,39.73,40.65,39.73,40.53,2559454
7/13/2010,41.75,41.97,40.83,41.13,2390028
7/14/2010,41.18,41.97,40.65,41.61,1805019
7/15/2010,41.76,41.88,40.63,41.69,1752780
7/16/2010,41.24,41.36,40.105,40.26,1508333
7/19/2010,40.7,40.92,39.71,40.65,2085233
7/20/2010,39.64,42.42,39.48,42.24,3117127
7/21/2010,42.72,42.78,41.58,41.88,3169487
7/22/2010,42.51,42.84,40.79,41.2,5768050
7/23/2010,41.16,42.17,40.67,41.83,3469069
7/26/2010,42.16,42.27,41.48,41.8,1776741
7/27/2010,41.97,44.01,40.84,43.08,5177759
